as_of_year,respondent_id,agency_name,agency_abbr,agency_code,loan_type_name,loan_type,property_type_name,property_type,loan_purpose_name,loan_purpose,owner_occupancy_name,owner_occupancy,loan_amount_000s,preapproval_name,preapproval,action_taken_name,action_taken,msamd_name,msamd,state_name,state_abbr,state_code,county_name,county_code,census_tract_number,applicant_ethnicity_name,applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_ethnicity,applicant_race_name_1,applicant_race_1,applicant_race_name_2,applicant_race_2,applicant_race_name_3,applicant_race_3,applicant_race_name_4,applicant_race_4,applicant_race_name_5,applicant_race_5,co_applicant_race_name_1,co_applicant_race_1,co_applicant_race_name_2,co_applicant_race_2,co_applicant_race_name_3,co_applicant_race_3,co_applicant_race_name_4,co_applicant_race_4,co_applicant_race_name_5,co_applicant_race_5,applicant_sex_name,applicant_sex,co_applicant_sex_name,co_applicant_sex,applicant_income_000s,purchaser_type_name,purchaser_type,denial_reason_name_1,denial_reason_1,denial_reason_name_2,denial_reason_2,denial_reason_name_3,denial_reason_3,rate_spread,hoepa_status_name,hoepa_status,lien_status_name,lien_status,edit_status_name,edit_status,sequence_number,population,minority_population,hud_median_family_income,tract_to_msamd_income,number_of_owner_occupied_units,number_of_1_to_4_family_units,application_date_indicator
2016,26-4461592,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,117,Not applicable,3,Application withdrawn by applicant,4,"Deltona, Daytona Beach, Ormond Beach - FL",19660.0,Florida,FL,12.0,Flagler County,35.0,602.05,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,50.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,1640,7274.0,31.43000030517578,51700.0,89.30000305175781,2179.0,3000.0,0
2016,37-1542226,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,135,Not applicable,3,Application withdrawn by applicant,4,"Scranton, Wilkes-Barre, Hazleton - PA",42540.0,Pennsylvania,PA,42.0,Luzerne County,79.0,2157.01,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,56.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,2416,2443.0,2.2100000381469727,60400.0,102.16999816894533,891.0,1097.0,0
2016,0000146672,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,198,Not applicable,3,Loan originated,1,"Chicago, Naperville, Arlington Heights - IL",16974.0,Illinois,IL,17.0,Cook County,31.0,8062.02,Not Hispanic or Latino,2,Not Hispanic or Latino,2,Asian,2,,,,,,,,,Asian,2,,,,,,,,,Male,1,Female,2,195.0,Freddie Mac (FHLMC),3,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,Quality edit failure only,6.0,58867,4550.0,16.459999084472656,74700.0,110.6999969482422,1725.0,740.0,0
2016,0000617677,Consumer Financial Protection Bureau,CFPB,9,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,415,Preapproval was requested,1,Preapproval request approved but not accepted,8,,,,,,,,,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,83.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,102587,,,,,,,0
2016,0001189117,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,69,Not applicable,3,Loan originated,1,"Charlotte, Concord, Gastonia - NC, SC",16740.0,North Carolina,NC,37.0,Gaston County,71.0,310.04,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,209.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,5661,2561.0,10.859999656677246,64100.0,80.51000213623047,766.0,1053.0,0
2016,0000722777,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,433,Not applicable,3,Application withdrawn by applicant,4,Kingston - NY,28740.0,New York,NY,36.0,Ulster County,111.0,9530.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,180.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,Quality edit failure only,6.0,2344,1842.0,11.779999732971191,75900.0,97.2300033569336,708.0,1071.0,0
2016,72-1545376,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,493,Not applicable,3,Loan originated,1,"Seattle, Bellevue, Everett - WA",42644.0,Washington,WA,53.0,King County,33.0,218.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,187.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,5710,5401.0,31.850000381469727,90300.0,112.31999969482422,1480.0,1609.0,0
2016,0000852320,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,153,Not applicable,3,File closed for incompleteness,5,"Montgomery County, Bucks County, Chester County - PA",33874.0,Pennsylvania,PA,42.0,Montgomery County,91.0,2054.0,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",3,1200.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,9508,5990.0,17.780000686645508,99500.0,168.0500030517578,1457.0,1425.0,0
2016,0000210434,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,165,Not applicable,3,Application denied by financial institution,3,"Miami, Miami Beach, Kendall - FL",33124.0,Florida,FL,12.0,Miami-Dade County,86.0,189.0,Hispanic or Latino,1,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,35.0,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,118,6603.0,72.69000244140625,48100.0,164.1300048828125,1862.0,2286.0,0
2016,0000063069,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,83,Preapproval was requested,1,Loan originated,1,"New York, Jersey City, White Plains - NY, NJ",35614.0,New York,NY,36.0,New York County,61.0,183.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,364.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,861,8667.0,31.3799991607666,72600.0,177.5,1031.0,133.0,0
2016,0002888798,Federal Reserve System,FRS,2,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,320,Not applicable,3,Loan originated,1,"Newark - NJ, PA",35084.0,New Jersey,NJ,34.0,Morris County,27.0,416.03,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,147.0,"Commercial bank, savings bank or savings association",6,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,28987,4486.0,50.470001220703125,95100.0,93.8499984741211,794.0,1068.0,0
2016,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,77,Not applicable,3,Application denied by financial institution,3,,,New York,NY,36.0,Greene County,39.0,807.0,Not Hispanic or Latino,2,"Information not provided by applicant in mail, Internet, or telephone application",3,Black or African American,3,,,,,,,,,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,,,,,Female,2,"Information not provided by applicant in mail, Internet, or telephone application",3,94.0,Loan was not originated or was not sold in calendar year covered by register,0,Other,9.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,193012,2988.0,9.8100004196167,58900.0,114.26000213623048,755.0,1153.0,0
2016,0471809999,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,40,Not applicable,3,Loan purchased by the institution,6,"Duluth - MN, WI",20260.0,Minnesota,MN,27.0,St. Louis County,137.0,128.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,15.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Not applicable,4,,,75176,2912.0,3.569999933242798,62700.0,103.93000030517578,1064.0,1166.0,2
2016,0000058243,Federal Reserve System,FRS,2,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,595,Preapproval was requested,1,Preapproval request denied by financial institution,7,,,,,,,,,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,370.0,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,1079,,,,,,,0
2016,26-4599244,Department of Housing and Urban Development,HUD,7,VA-guaranteed,3,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,158,Not applicable,3,Application withdrawn by applicant,4,"College Station, Bryan - TX",17780.0,Texas,TX,48.0,Brazos County,41.0,20.07,Hispanic or Latino,1,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,86.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,318969,5673.0,26.1200008392334,58900.0,141.9600067138672,1251.0,1696.0,0
2016,26-0508430,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,408,Not applicable,3,Application approved but not accepted,2,"San Diego, Carlsbad - CA",41740.0,California,CA,6.0,San Diego County,73.0,147.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Male,1,96.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,3798,7605.0,37.61000061035156,73500.0,97.58000183105467,1875.0,2725.0,0
2016,38-2750395,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,530,Not applicable,3,File closed for incompleteness,5,"Kahului, Wailuku, Lahaina - HI",27980.0,Hawaii,HI,15.0,Maui County,9.0,310.0,Not Hispanic or Latino,2,No co-applicant,5,Native Hawaiian or Other Pacific Islander,4,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,81.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,93767,8426.0,78.13999938964844,81500.0,122.1500015258789,2015.0,2526.0,0
2016,0000002315,Federal Deposit Insurance Corporation,FDIC,3,FSA/RHS-guaranteed,4,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,83,Not applicable,3,Application withdrawn by applicant,4,"Fort Smith - AR, OK",22900.0,Arkansas,AR,5.0,Crawford County,33.0,205.02,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,21.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,700,4847.0,18.86000061035156,48100.0,71.19000244140625,928.0,2007.0,0
2016,51-0370645,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,221,Preapproval was not requested,2,Loan originated,1,"Montgomery County, Bucks County, Chester County - PA",33874.0,Pennsylvania,PA,42.0,Chester County,29.0,3065.01,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,66.0,Ginnie Mae (GNMA),2,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,1450,4153.0,14.65999984741211,99500.0,176.32000732421875,1227.0,1347.0,0
2016,0000451965,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home improvement,2,Owner-occupied as a principal dwelling,1,634,Not applicable,3,Loan originated,1,"Oakland, Hayward, Berkeley - CA",36084.0,California,CA,6.0,Alameda County,1.0,4507.52,Hispanic or Latino,1,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Male,1,Female,2,179.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,210817,5262.0,66.5,93600.0,158.19000244140625,1244.0,1354.0,0
2016,86-0860478,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,5,Not applicable,3,Loan originated,1,"Durham, Chapel Hill - NC",20500.0,North Carolina,NC,37.0,Durham County,63.0,17.08,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,40.0,Other type of purchaser,9,,,,,,,,Not a HOEPA loan,2,Secured by a subordinate lien,2,Quality edit failure only,6.0,6544,3989.0,89.56999969482422,72100.0,67.01000213623047,845.0,1092.0,0
2016,0000233031,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Not owner-occupied as a principal dwelling,2,24,Not applicable,3,Application denied by financial institution,3,"Memphis - TN, MS, AR",32820.0,Tennessee,TN,47.0,Shelby County,157.0,111.0,Not Hispanic or Latino,2,No co-applicant,5,Black or African American,3,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,23.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,4846,1892.0,99.73999786376952,59100.0,40.959999084472656,375.0,862.0,0
2016,38-2750395,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,320,Not applicable,3,Loan originated,1,"Atlanta, Sandy Springs, Roswell - GA",12060.0,Georgia,GA,13.0,Forsyth County,117.0,1306.12,Not Hispanic or Latino,2,No co-applicant,5,Asian,2,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,111.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,45506,5614.0,17.530000686645508,67200.0,204.69000244140625,1545.0,1694.0,0
2016,0000704192,Office of the Comptroller of the Currency,OCC,1,FSA/RHS-guaranteed,4,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,65,Preapproval was not requested,2,Application denied by financial institution,3,,,Ohio,OH,39.0,Paulding County,125.0,9602.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,28.0,Loan was not originated or was not sold in calendar year covered by register,0,Credit history,3.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,2109,4339.0,5.050000190734863,55400.0,104.25,1401.0,1876.0,0
2016,84-1594306,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,287,Not applicable,3,Application denied by financial institution,3,"Denver, Aurora, Lakewood - CO",19740.0,Colorado,CO,8.0,Arapahoe County,5.0,863.0,Not Hispanic or Latino,2,Not Hispanic or Latino,2,White,5,,,,,,,,,White,5,,,,,,,,,Female,2,Male,1,80.0,Loan was not originated or was not sold in calendar year covered by register,0,Debt-to-income ratio,1.0,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,16081,3696.0,30.030000686645508,80100.0,91.1500015258789,748.0,695.0,0
2016,11-3073502,Department of Housing and Urban Development,HUD,7,FHA-insured,2,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,411,Not applicable,3,Loan originated,1,"New York, Jersey City, White Plains - NY, NJ",35614.0,New York,NY,36.0,Richmond County,85.0,226.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,101.0,"Commercial bank, savings bank or savings association",6,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,355,8490.0,21.450000762939453,72600.0,121.75,1914.0,2582.0,0
2016,7197000003,Department of Housing and Urban Development,HUD,7,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Refinancing,3,Owner-occupied as a principal dwelling,1,245,Not applicable,3,Loan originated,1,"Atlanta, Sandy Springs, Roswell - GA",12060.0,Georgia,GA,13.0,Fulton County,121.0,116.21,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,447.0,Fannie Mae (FNMA),1,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,355942,6366.0,33.36000061035156,67200.0,207.1699981689453,1429.0,1563.0,0
2016,0000606046,Consumer Financial Protection Bureau,CFPB,9,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Not owner-occupied as a principal dwelling,2,27,Not applicable,3,Application approved but not accepted,2,"Gulfport, Biloxi, Pascagoula - MS",25060.0,Mississippi,MS,28.0,Harrison County,47.0,13.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Male,1,No co-applicant,5,72.0,Loan was not originated or was not sold in calendar year covered by register,0,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,790,3056.0,43.130001068115234,52600.0,87.8499984741211,377.0,901.0,0
2016,0000061823,National Credit Union Administration,NCUA,5,Conventional,1,One-to-four family dwelling (other than manufactured housing),1,Home purchase,1,Owner-occupied as a principal dwelling,1,46,Not applicable,3,Loan originated,1,Topeka - KS,45820.0,Kansas,KS,20.0,Shawnee County,177.0,31.0,Not Hispanic or Latino,2,No co-applicant,5,White,5,,,,,,,,,No co-applicant,8,,,,,,,,,Female,2,No co-applicant,5,18.0,"Life insurance company, credit union, mortgage bank, or finance company",7,,,,,,,,Not a HOEPA loan,2,Secured by a first lien,1,,,88,6103.0,49.56999969482422,62600.0,58.45000076293945,1082.0,2005.0,0
